SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,69-10 Yellowstone #427,Forest Hills,NY,11375.0,340000.0,1.0,1.0,69-10 Yellowstone,,,1942.0,1.0,,1063.0,Active,July-20-2024 01:30 PM,July-20-2024 03:30 PM,https://www.redfin.com/NY/Forest-Hills/6910-Yellowstone-Blvd-11375/unit-427/home/20630059,OneKey® MLS as Distributed by MLS Grid,3565242,N,Y,40.7240934,-73.8471788
MLS Listing,,Condo/Co-op,111-14 76th Ave #310,Forest Hills,NY,11375.0,485000.0,1.0,1.0,Longfellow Hall,873.0,18910.0,1938.0,10.0,556.0,850.0,Active,July-13-2024 01:00 PM,July-13-2024 03:00 PM,https://www.redfin.com/NY/Forest-Hills/11114-76th-Ave-11375/unit-310/home/20887815,OneKey® MLS as Distributed by MLS Grid,3563240,N,Y,40.7163954,-73.8368936
MLS Listing,,Single Family Residential,234-15 131st Ave,Rosedale,NY,11422.0,699000.0,4.0,1.5,Rosedale,1260.0,4000.0,1945.0,30.0,555.0,,Active,,,https://www.redfin.com/NY/Rosedale/23415-131st-Ave-11422/home/20700867,OneKey® MLS as Distributed by MLS Grid,3558584,N,Y,40.6782628,-73.7334136
MLS Listing,,Single Family Residential,207-20 34th Ave,Bayside,NY,11361.0,1188000.0,3.0,1.5,Bayside,1451.0,2500.0,1925.0,50.0,819.0,,Active,July-13-2024 01:00 PM,July-13-2024 03:00 PM,https://www.redfin.com/NY/Bayside/20720-34th-Ave-11361/home/20835771,OneKey® MLS as Distributed by MLS Grid,3553877,N,Y,40.768508,-73.780836
MLS Listing,,Condo/Co-op,41-15 45th St Unit 3D,Sunnyside,NY,11104.0,449000.0,1.0,1.0,41-15 45th St Co-Op,,,1943.0,67.0,,861.0,Active,,,https://www.redfin.com/NY/Sunnyside/4115-45th-St-11104/unit-3D/home/20632236,OneKey® MLS as Distributed by MLS Grid,3549650,N,Y,40.7460474,-73.9188117
MLS Listing,,Single Family Residential,172-58 126th Ave,Jamaica,NY,11434.0,710000.0,3.0,1.0,Jamaica,1050.0,3450.0,1962.0,73.0,676.0,,Active,,,https://www.redfin.com/NY/Jamaica/17258-126th-Ave-11434/home/20706565,OneKey® MLS as Distributed by MLS Grid,3548066,N,Y,40.6811004,-73.7699277
MLS Listing,,Single Family Residential,102-05 217th St,Queens Village,NY,11429.0,760000.0,3.0,3.0,Queens Village,1628.0,4000.0,1925.0,78.0,467.0,,Active,July-13-2024 12:30 PM,July-13-2024 02:00 PM,https://www.redfin.com/NY/Queens-Village/10205-217th-St-11429/home/20737467,OneKey® MLS as Distributed by MLS Grid,3547165,N,Y,40.7133288,-73.7411183
MLS Listing,,Multi-Family (2-4 Unit),825 E 21st St,Midwood,NY,11210.0,1588888.0,5.0,2.5,Midwood,2702.0,2500.0,1915.0,85.0,588.0,,Active,,,https://www.redfin.com/NY/Brooklyn/825-E-21st-St-11210/home/40790106,OneKey® MLS as Distributed by MLS Grid,3545697,N,Y,40.6335649,-73.9565789
MLS Listing,,Condo/Co-op,35-05 72nd St Unit 3G,Jackson Heights,NY,11372.0,360000.0,1.0,1.0,Jac Towers,,,1936.0,98.0,,838.0,Active,July-14-2024 03:30 PM,July-14-2024 04:30 PM,https://www.redfin.com/NY/Jackson-Heights/3505-72nd-St-11372/unit-3G/home/20645114,OneKey® MLS as Distributed by MLS Grid,3542550,N,Y,40.750586,-73.893645
